Epoch,Loss
Epoch,Loss
0,0.5725957155227661
1,0.46198368072509766
2,0.4504479765892029
3,0.4377734959125519
4,0.43150264024734497
5,0.42619848251342773
6,0.42615753412246704
7,0.42151781916618347
8,0.42288944125175476
9,0.41863229870796204
10,0.42209258675575256
11,0.4109518229961395
12,0.40941083431243896
13,0.4063420295715332
14,0.405103474855423
15,0.40482044219970703
16,0.4023895561695099
17,0.4064387083053589
18,0.40147143602371216
19,0.40177610516548157
20,0.39961495995521545
21,0.3990129828453064
22,0.39232245087623596
23,0.3973141312599182
24,0.38863417506217957
25,0.39232122898101807
26,0.39333975315093994
27,0.39652585983276367
28,0.3916879892349243
29,0.3892657458782196
